Price,Date
33513.4867,2021-07-10
34254,2021-07-11
33092.925,2021-07-12
32727.9283,2021-07-13
32822.1817,2021-07-14
31870.0083,2021-07-15
31400.4217,2021-07-16
31539.0267,2021-07-17
31800.12,2021-07-18
30837.89,2021-07-19
29800.7367,2021-07-20
32146.0733,2021-07-21
32306.5917,2021-07-22
33646.4367,2021-07-23
34289.1017,2021-07-24
35417.4683,2021-07-25
37268.7083,2021-07-26
39489.8683,2021-07-27
40021.7183,2021-07-28
40039.9783,2021-07-29
42208.2233,2021-07-30
41458.8433,2021-07-31
39882.385,2021-08-01
39154.7917,2021-08-02
38198.685,2021-08-03
39742.4433,2021-08-04
40887.41,2021-08-05
42856.3483,2021-08-06
44606.61,2021-08-07
43804.8083,2021-08-08
46283.2333,2021-08-09
45606.6133,2021-08-10
45556.0133,2021-08-11
44415.8567,2021-08-12
47837.6783,2021-08-13
47098.2633,2021-08-14
47018.9017,2021-08-15
45927.405,2021-08-16
44686.3333,2021-08-17
44725.12,2021-08-18
46768.7083,2021-08-19
49345.8517,2021-08-20
48862.0467,2021-08-21
49278.8733,2021-08-22
49525.4783,2021-08-23
47705.4083,2021-08-24
48996.0733,2021-08-25
46842.8117,2021-08-26
49082.5783,2021-08-27
48923.55,2021-08-28
48799.5817,2021-08-29
46996.925,2021-08-30
47127.2,2021-08-31
48840.9633,2021-09-01
49284.7,2021-09-02
50012.9283,2021-09-03
49924.7283,2021-09-04
51788.98,2021-09-05
52688.2417,2021-09-06
46856.45,2021-09-07
46070.405,2021-09-08
46391.0983,2021-09-09
44849.31,2021-09-10
45168.8233,2021-09-11
46043.9567,2021-09-12
44955.3717,2021-09-13
47112.1767,2021-09-14
48139.485,2021-09-15
47770.4467,2021-09-16
47297.3683,2021-09-17
48315.0433,2021-09-18
47247.4317,2021-09-19
43014.7217,2021-09-20
40681.445,2021-09-21
43577.9517,2021-09-22
44893.5833,2021-09-23
42851.7017,2021-09-24
42709.5933,2021-09-25
43199.4867,2021-09-26
42178.03,2021-09-27
41046.4417,2021-09-28
41535.125,2021-09-29
43825.5417,2021-09-30
48162.7067,2021-10-01
47671.9367,2021-10-02
48233.0983,2021-10-03
49240.26,2021-10-04
51495.32,2021-10-05
55340.015,2021-10-06
53798.405,2021-10-07
53944.2767,2021-10-08
54960.8483,2021-10-09
54686.1333,2021-10-10
57490.3067,2021-10-11
56001.745,2021-10-12
57375.7267,2021-10-13
57355.0283,2021-10-14
61693.79,2021-10-15
60871.4467,2021-10-16
61518.8433,2021-10-17
62025.1667,2021-10-18
64286.5167,2021-10-19
66015.0967,2021-10-20
62201.9633,2021-10-21
60696.97,2021-10-22
61307.6667,2021-10-23
60849.5667,2021-10-24
63084.5717,2021-10-25
60307.6533,2021-10-26
58457.8717,2021-10-27
60591.9433,2021-10-28
62253.32,2021-10-29
61888.405,2021-10-30
61338.5317,2021-10-31
60955.7683,2021-11-01
63246.855,2021-11-02
62926.8233,2021-11-03
61444.2283,2021-11-04
61016.2883,2021-11-05
61514.3833,2021-11-06
63287.79,2021-11-07
67544.8733,2021-11-08
66941.8717,2021-11-09
64924.3533,2021-11-10
64818.75,2021-11-11
64142.9817,2021-11-12
64410.975,2021-11-13
65495.3183,2021-11-14
63599.7467,2021-11-15
60112.9583,2021-11-16
60364.085,2021-11-17
56925.4283,2021-11-18
58121.7817,2021-11-19
59763.9583,2021-11-20
58689.5383,2021-11-21
56290.1683,2021-11-22
57594.305,2021-11-23
57172.54,2021-11-24
58999.1183,2021-11-25
53798.905,2021-11-26
54772.275,2021-11-27
57319.5733,2021-11-28
